HEADER,391094,1,01/06/2021,11:15:18,
DETAIL,46014511750,1,0,0,notSpecified
DETAIL,48295033044,1,0,0,notSpecified
DETAIL,49694532374,5,0,0,notSpecified
DETAIL,48300000000,1,0,0,notSpecified
DETAIL,49694593085,2,0,0,notSpecified
DETAIL,49694593757,10,0,0,notSpecified
DETAIL,50051801620,1,0,0,notSpecified
DETAIL,50051820478,13,0,0,notSpecified
DETAIL,51342163267,1,0,0,notSpecified
DETAIL,70896088796,0,0,0,notSpecified
DETAIL,70896261168,2,0,0,notSpecified
DETAIL,70896271969,2,0,0,notSpecified
DETAIL,70896271983,5,0,0,notSpecified
DETAIL,70896345035,5,0,0,notSpecified
DETAIL,70896382467,14,0,0,notSpecified
DETAIL,70896389480,5,0,0,notSpecified
DETAIL,70896699701,2,0,0,notSpecified
DETAIL,70896700667,10,0,0,notSpecified
DETAIL,77802349729,1,0,0,notSpecified
DETAIL,77802360403,0,0,0,notSpecified
DETAIL,77802596703,5,0,0,notSpecified
DETAIL,77802597007,1,0,0,notSpecified
DETAIL,82677245007,5,0,0,notSpecified
DETAIL,82677752000,2,0,0,notSpecified
DETAIL,85715135001,5,0,0,notSpecified
DETAIL,85715135063,1,0,0,notSpecified
DETAIL,85715135155,2,0,0,notSpecified
DETAIL,85715135858,1,0,0,notSpecified
DETAIL,85715135872,2,0,0,notSpecified
DETAIL,85715136862,5,0,0,notSpecified
DETAIL,85715138552,6,0,0,notSpecified
DETAIL,85715320216,7,0,0,notSpecified
DETAIL,85715320377,8,0,0,notSpecified
DETAIL,70896261168,5,0,0,notSpecified
DETAIL,70896271969,6,0,0,notSpecified
DETAIL,70896271983,7,0,0,notSpecified
DETAIL,70896345035,8,0,0,notSpecified
DETAIL,70896382467,5,0,0,notSpecified
DETAIL,70896389480,6,0,0,notSpecified
DETAIL,70896699701,7,0,0,notSpecified
DETAIL,70896700667,8,0,0,notSpecified
DETAIL,77802349729,5,0,0,notSpecified
DETAIL,77802360403,6,0,0,notSpecified
DETAIL,77802360410,7,0,0,notSpecified
DETAIL,77802360953,8,0,0,notSpecified
DETAIL,77802360960,5,0,0,notSpecified
DETAIL,77802360984,6,0,0,notSpecified
DETAIL,77802360991,7,0,0,notSpecified
DETAIL,77802361035,8,0,0,notSpecified
DETAIL,77802361929,5,0,0,notSpecified
DETAIL,77802364142,6,0,0,notSpecified
DETAIL,77802364685,7,0,0,notSpecified
DETAIL,77802364692,8,0,0,notSpecified
DETAIL,77802364715,2,0,0,notSpecified
DETAIL,77802365064,1,0,0,notSpecified
DETAIL,77802365088,3,0,0,notSpecified
DETAIL,77802414113,2,0,0,notSpecified
DETAIL,77802414212,1,0,0,notSpecified
DETAIL,77802414519,3,0,0,notSpecified
DETAIL,77802415127,2,0,0,notSpecified
DETAIL,77802487018,1,0,0,notSpecified
DETAIL,77802498519,3,0,0,notSpecified
DETAIL,77802530110,2,0,0,notSpecified
DETAIL,77802532008,1,0,0,notSpecified
DETAIL,77802532220,3,0,0,notSpecified
DETAIL,77802536938,2,0,0,notSpecified
DETAIL,77802569011,1,0,0,notSpecified
DETAIL,77802569110,3,0,0,notSpecified
DETAIL,77802569219,2,0,0,notSpecified
DETAIL,77802569318,1,0,0,notSpecified
DETAIL,77802575111,3,0,0,notSpecified
DETAIL,77802575210,2,0,0,notSpecified
DETAIL,77802584328,1,0,0,notSpecified
DETAIL,77802584427,3,0,0,notSpecified
TRAILER,391094,1,01/06/2021,74,303
